treatment,number_bites
A,4.5
A,10.04
A,13.05
A,0.26
A,10.61
A,10.89
A,6.86
A,6.97
A,6.9
A,5.69
A,7.23
A,5.28
A,6.11
A,9.25
A,12.58
A,8.59
A,7.1
A,5.61
A,5.88
A,18.01
A,9.51
A,7.18
A,7.36
A,10.72
A,6.42
A,3.61
A,11.15
A,5.19
A,8.95
A,5.52
B,14.1
B,8.41
B,7.56
B,8.31
B,4.24
B,5.91
B,2.26
B,5.28
B,9.06
B,8.44
B,15.35
B,6.27
B,7.04
B,9.11
B,6.54
B,6.63
B,6.13
B,5.61
B,8.23
B,8.33
B,3.61
B,8.02
B,6.12
B,6.46
B,9.54
B,12.16
B,16.07
B,7.33
B,15.92
B,5.95
C,9.63
C,15.44
C,7.5
C,5.55
C,7.58
C,13.07
C,4.11
C,11.81
C,11.69
C,8.64
C,7.63
C,6.21
C,6.48
C,9.6
C,13.97
C,7.14
C,3.33
C,5.38
C,8.4
C,6.63
C,7.06
C,7.08
C,3.39
C,7.07
C,10.22
C,9.75
C,9.3
C,6.37
C,7.02
C,3.93
D,5.7
D,6.89
D,12.49
D,9.77
D,3.99
D,7.28
D,1.52
D,9.29
D,9.66
D,14.1
D,7.5
D,4.07
D,6.16
D,3.96
D,2.71
D,6.55
D,2.44
D,6.55
D,7.27
D,5.7
D,5.15
D,3.39
D,1.62
D,9.18
D,5.99
D,9.11
D,1.1
D,6.56
D,8.5
D,5.8
E,4.86
E,5.53
E,9.17
E,5.5
E,2.71
E,6.49
E,1.59
E,0.39
E,4.79
E,1.56
E,7.1
E,4.71
E,2.67
E,10.54
E,4.83
E,9.87
E,4.82
E,4.11
E,6.42
E,8.58
E,14.1
E,1.78
E,4.59
E,8.74
E,6.32
E,4.57
E,0.9
E,4.27
E,4.58
E,4.92
